sim_time, animated_rocket?world_pose/position/y
204.776, 0
204.777, 0
204.778, 0
204.779, 0
204.78, 0
204.781, 0
204.782, 0
204.783, 0
204.784, 0
204.785, 0
204.786, 0
204.787, 0
204.788, 0
204.789, 0
204.79, 0
204.791, 0
204.792, 0
204.793, 0
204.794, 0
204.795, 0
204.796, 0
204.797, 0
204.798, 0
204.799, 0
204.8, 0
204.801, 0
204.802, 0
204.803, 0
204.804, 0
204.805, 0
204.806, 0
204.807, 0
204.808, 0
204.809, 0
204.81, 0
204.811, 0
204.812, 0
204.813, 0
204.814, 0
204.815, 0
204.816, 0
204.817, 0
204.818, 0
204.819, 0
204.82, 0
204.821, 0
204.822, 0
204.823, 0
204.824, 0
204.825, 0
204.826, 0
204.827, 0
204.828, 0
204.829, 0
204.83, 0
204.831, 0
204.832, 0
204.833, 0
204.834, 0
204.835, 0
204.836, 0
204.837, 0
204.838, 0
204.839, 0
204.84, 0
204.841, 0
204.842, 0
204.843, 0
204.844, 0
204.845, 0
204.846, 0
204.847, 0
204.848, 0
204.849, 0
204.85, 0
204.851, 0
204.852, 0
204.853, 0
204.854, 0
204.855, 0
204.856, 0
204.857, 0
204.858, 0
204.859, 0
204.86, 0
204.861, 0
204.862, 0
204.863, 0
204.864, 0
204.865, 0
204.866, 0
204.867, 0
204.868, 0
204.869, 0
204.87, 0
204.871, 0
204.872, 0
204.873, 0
204.874, 0
204.875, 0
204.876, 0
204.877, 0
204.878, 0
204.879, 0
204.88, 0
204.881, 0
204.882, 0
204.883, 0
204.884, 0
204.885, 0
204.886, 0
204.887, 0
204.888, 0
204.889, 0
204.89, 0
204.891, 0
204.892, 0
204.893, 0
204.894, 0
204.895, 0
204.896, 0
204.897, 0
204.898, 0
204.899, 0
204.9, 0
204.901, 0
204.902, 0
204.903, 0
204.904, 0
204.905, 0
204.906, 0
204.907, 0
204.908, 0
204.909, 0
204.91, 0
204.911, 0
204.912, 0
204.913, 0
204.914, 0
204.915, 0
204.916, 0
204.917, 0
204.918, 0
204.919, 0
204.92, 0
204.921, 0
204.922, 0
204.923, 0
204.924, 0
204.925, 0
204.926, 0
204.927, 0
204.928, 0
204.929, 0
204.93, 0
204.931, 0
204.932, 0
204.933, 0
204.934, 0
204.935, 0
204.936, 0
204.937, 0
204.938, 0
204.939, 0
204.94, 0
204.941, 0
204.942, 0
204.943, 0
204.944, 0
204.945, 0
204.946, 0
204.947, 0
204.948, 0
204.949, 0
204.95, 0
204.951, 0
204.952, 0
204.953, 0
204.954, 0
204.955, 0
204.956, 0
204.957, 0
204.958, 0
204.959, 0
204.96, 0
204.961, 0
